xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	group
1994.95753424658	1995.04246575342	1	time2	1995	time2	1995	1
1995.04246575342	1995.12328767123	1995.08493150685 1995	time2	1995.08493150685	time2	1995	73
1995.12328767123	1995.20410958904	1995.16164383562 1995	time2	1995.16164383562	time2	1995	144
1995.20410958904	1995.28767123288	1995.24657534247 1995	time2	1995.24657534247	time2	1995	215
1995.28767123288	1995.37123287671	1995.32876712329 1995	time2	1995.32876712329	time2	1995	286
1995.37123287671	1995.45479452055	1995.41369863014 1995	time2	1995.41369863014	time2	1995	357
1995.45479452055	1995.53835616438	1995.49589041096 1995	time2	1995.49589041096	time2	1995	428
1995.53835616438	1995.62328767123	1995.58082191781 1995	time2	1995.58082191781	time2	1995	499
1995.62328767123	1995.70684931507	1995.66575342466 1995	time2	1995.66575342466	time2	1995	570
1995.70684931507	1995.7904109589	1995.74794520548 1995	time2	1995.74794520548	time2	1995	641
1995.7904109589	1995.87397260274	1995.83287671233 1995	time2	1995.83287671233	time2	1995	712
1995.87397260274	1995.95753424658	1995.91506849315 1995	time2	1995.91506849315	time2	1995	783
1995.95753424658	1996.04234972678	1996 1995	time2	1996	time2	1995	854
1996.04234972678	1996.12431693989	1996.08469945355 1995	time2	1996.08469945355	time2	1995	925
1996.12431693989	1996.20628415301	1996.16393442623 1995	time2	1996.16393442623	time2	1995	996
1996.20628415301	1996.28961748634	1996.24863387978 1995	time2	1996.24863387978	time2	1995	1067
1996.28961748634	1996.37295081967	1996.3306010929 1995	time2	1996.3306010929	time2	1995	1138
1996.37295081967	1996.45628415301	1996.41530054645 1995	time2	1996.41530054645	time2	1995	1209
1996.45628415301	1996.53961748634	1996.49726775956 1995	time2	1996.49726775956	time2	1995	1280
1996.53961748634	1996.62431693989	1996.58196721311 1995	time2	1996.58196721311	time2	1995	1351
1996.62431693989	1996.70765027322	1996.66666666667 1995	time2	1996.66666666667	time2	1995	1422
1996.70765027322	1996.79098360656	1996.74863387978 1995	time2	1996.74863387978	time2	1995	1493
