group	fill
1	#FF8160
2	#FF7755
3	#FF6C4B
4	#FF7250
5	#FF6C4B
6	#FF6C4B
7	#FF7958
8	#FF8160
9	#FF8565
10	#FF9D81
11	#FFA58A
12	#FF8362
13	#FF9D81
14	#FF8C6D
15	#FF8565
16	#FF8A6B
17	#FFAA90
18	#FF8160
19	#FF8362
20	#FF7C5B
21	#FF7755
22	#FF7755
23	#FF7755
24	#FF7958
25	#FF997B
26	#FF7755
27	#FF7452
28	#FF7250
29	#FF7250
30	#FF7452
31	#FF7958
32	#FF8160
33	#FF6F4D
34	#FF7E5D
35	#FF7E5D
36	#FF997B
37	#FF8C6D
38	#FFA084
39	#FFB198
40	#FFB198
41	#FFBDA8
42	#FF9476
43	#FF8C6D
44	#FF8362
45	#FF7C5B
46	#FF7C5B
47	#FF7755
48	#FF8160
49	#FF997B
50	#FF7958
51	#FF7452
52	#FF6C4B
53	#FF7250
54	#FF7250
55	#FF7C5B
56	#FF8160
57	#FF7C5B
58	#FF7E5D
59	#FF7E5D
60	#FF997B
61	#FF8A6B
62	#FFA084
63	#FFB39B
64	#FFB8A1
65	#FFC0AB
66	#FF9476
67	#FF8C6D
68	#FF8362
69	#FF7C5B
70	#FF7452
71	#FF7755
72	#FF7958
73	#FF9D81
74	#FF7755
75	#FF6F4D
76	#FF6746
77	#FF6C4B
78	#FF7452
79	#FF8362
80	#FF7C5B
81	#FF7958
82	#FF7C5B
83	#FF7958
84	#FF9B7E
85	#FF8868
86	#FF9B7E
87	#FFAC93
88	#FFBBA5
89	#FFC7B5
90	#FF9476
91	#FF8A6B
92	#FF8362
93	#FF7C5B
94	#FF7755
95	#FF7958
96	#FF7C5B
97	#FFA084
98	#FF7755
99	#FF7250
100	#FF6746
101	#FF7250
102	#FF7E5D
103	#FF8160
104	#FF7E5D
105	#FF7958
106	#FF7E5D
107	#FF8160
108	#FF997B
109	#FF8868
110	#FF9B7E
111	#FFA88D
112	#FFB69E
113	#FFC7B5
