x	y	clickSelects	showSelected1
24.3	0.416666666666668	1995	1-1
24.7	1.16666666666668	1995	1-10
25.6	1.26666666666666	1995	1-11
26.1	0.849999999999984	1995	1-12
27.9	1.68333333333334	1995	1-13
27.9	1.51666666666666	1995	1-14
27	1.36666666666669	1995	1-15
27	1.81666666666669	1995	1-16
25.2	1.36666666666669	1995	1-17
21.9	0.349999999999994	1995	1-18
21	0.466666666666686	1995	1-19
24.7	0.733333333333349	1995	1-2
19.1	0.183333333333326	1995	1-20
16.2	-0.466666666666658	1995	1-21
11.6	-2.16666666666669	1995	1-22
6.39999999999998	-3.16666666666666	1995	1-23
-0.400000000000034	-3.73333333333335	1995	1-24
24.7	0.650000000000016	1995	1-3
25.2	0.616666666666692	1995	1-4
25.2	0.250000000000011	1995	1-5
25.6	0.733333333333331	1995	1-6
26.1	0.916666666666668	1995	1-7
25.6	0.666666666666668	1995	1-8
25.2	1.26666666666667	1995	1-9
21.5	1.30000000000001	1995	10-1
27.9	2.81666666666667	1995	10-10
27.4	2.38333333333334	1995	10-11
27.4	1.65	1995	10-12
27.4	1.85000000000001	1995	10-13
27.9	1.06666666666667	1995	10-14
26.5	1.48333333333336	1995	10-15
21	1.03333333333335	1995	10-16
23.4	0.75	1995	10-17
23.4	0.75	1995	10-18
24.7	1.66666666666668	1995	10-19
21.5	1.13333333333334	1995	10-2
22.9	0.716666666666658	1995	10-20
17.6	-0.166666666666668	1995	10-21
11.1	-0.350000000000003	1995	10-22
8.5	0.600000000000013	1995	10-23
5.79999999999996	1.26666666666664	1995	10-24
21.9	1.3	1995	10-3
22.4	0.783333333333321	1995	10-4
23.8	0.933333333333309	1995	10-5
25.2	1.23333333333335	1995	10-6
25.6	1.79999999999999	1995	10-7
26.5	2.18333333333336	1995	10-8
26.5	2.65000000000002	1995	10-9
21.5	1.30000000000001	1995	11-1
27.9	2.95	1995	11-10
27.9	2.36666666666667	1995	11-11
28.8	2.63333333333332	1995	11-12
27.4	1.85000000000001	1995	11-13
27	0.933333333333355	1995	11-14
24.3	1.03333333333331	1995	11-15
21	1.03333333333335	1995	11-16
21.5	0.0333333333333421	1995	11-17
23.4	0.75	1995	11-18
25.6	1.88333333333333	1995	11-19
21.5	1.45000000000002	1995	11-2
25.2	1.61666666666667	1995	11-20
17.6	-0.166666666666668	1995	11-21
10.6	0.0833333333333339	1995	11-22
6.39999999999998	-0.51666666666667	1995	11-23
3	-0.316666666666654	1995	11-24
21.9	1.3	1995	11-3
22.4	0.699999999999989	1995	11-4
23.8	0.766666666666652	1995	11-5
25.2	1.23333333333335	1995	11-6
26.5	2.08333333333336	1995	11-7
26.5	2.16666666666669	1995	11-8
26.5	2.43333333333336	1995	11-9
21	1.20000000000002	1995	12-1
27.4	2.55	1995	12-10
29.2	3.35000000000002	1995	12-11
29.2	2.25	1995	12-12
28.3	2.13333333333332	1995	12-13
24.3	-0.0500000000000114	1995	12-14
21.5	0.183333333333348	1995	12-15
25.2	1.08333333333335	1995	12-16
27.4	1.40000000000001	1995	12-17
23.4	0.5	1995	12-18
26.5	1.63333333333335	1995	12-19
21	1.18333333333336	1995	12-2
24.3	0.716666666666651	1995	12-20
19.6	-0.383333333333344	1995	12-21
10.1	-0.0666666666666718	1995	12-22
5.29999999999996	-0.51666666666668	1995	12-23
1.29999999999995	-0.950000000000017	1995	12-24
21.5	1.05000000000001	1995	12-3
22.9	0.949999999999989	1995	12-4
24.7	1.20000000000001	1995	12-5
25.6	1.4	1995	12-6
26.1	1.9	1995	12-7
25.2	1.63333333333334	1995	12-8
25.6	1.91666666666666	1995	12-9
20.1	0.849999999999994	1995	13-1
26.5	1.93333333333336	1995	13-10
28.8	2.88333333333332	1995	13-11
29.2	1.80000000000001	1995	13-12
27.4	1.48333333333333	1995	13-13
26.1	1.13333333333333	1995	13-14
24.3	1.03333333333331	1995	13-15
25.2	0.316666666666674	1995	13-16
27	1.08333333333335	1995	13-17
25.2	0.483333333333349	1995	13-18
23.8	0.683333333333319	1995	13-19
20.5	1.01666666666669	1995	13-2
24.3	0.716666666666651	1995	13-20
17.6	-0.266666666666669	1995	13-21
9.09999999999997	-0.916666666666666	1995	13-22
5.79999999999996	-0.733333333333349	1995	13-23
1.29999999999995	-0.766666666666689	1995	13-24
21.5	0.716666666666679	1995	13-3
23.8	1.31666666666665	1995	13-4
25.6	1.94999999999999	1995	13-5
25.2	1.00000000000001	1995	13-6
25.6	1.79999999999999	1995	13-7
25.2	2.43333333333334	1995	13-8
25.2	1.90000000000001	1995	13-9
20.1	1.16666666666667	1995	14-1
25.6	1.66666666666666	1995	14-10
27.4	1.85000000000001	1995	14-11
28.8	1.29999999999997	1995	14-12
24.7	0.900000000000016	1995	14-13
27	0.916666666666675	1995	14-14
27	0.633333333333354	1995	14-15
26.5	0.433333333333348	1995	14-16
26.5	0.650000000000016	1995	14-17
25.2	0.833333333333354	1995	14-18
23.4	0.5	1995	14-19
20.5	0.833333333333361	1995	14-2
19.1	-0.0833333333333322	1995	14-20
15.2	-0.983333333333331	1995	14-21
18.1	0.949999999999989	1995	14-22
5.79999999999996	-0.733333333333349	1995	14-23
1.29999999999995	-0.766666666666689	1995	14-24
21.9	0.816666666666663	1995	14-3
23.8	0.999999999999982	1995	14-4
23.8	0.516666666666641	1995	14-5
25.2	1.55000000000001	1995	14-6
23.8	1.33333333333331	1995	14-7
22.9	0.733333333333331	1995	14-8
23.4	0.933333333333326	1995	14-9
20.1	1	1995	15-1
17.1	-0.583333333333343	1995	15-10
24.7	1.06666666666667	1995	15-11
26.1	0.249999999999989	1995	15-12
24.7	0.200000000000017	1995	15-13
27	1.08333333333334	1995	15-14
27	0.750000000000011	1995	15-15
27	0.750000000000011	1995	15-16
26.1	0.399999999999995	1995	15-17
23.8	0.766666666666652	1995	15-18
22.9	0.0166666666666693	1995	15-19
21.9	1.38333333333333	1995	15-2
21.9	0.133333333333326	1995	15-20
22.9	0.100000000000005	1995	15-21
21	-0.933333333333319	1995	15-22
8.5	-0.649999999999977	1995	15-23
3.59999999999997	-0.100000000000013	1995	15-24
22.4	1.03333333333332	1995	15-3
22.9	0.5	1995	15-4
20.1	0.199999999999989	1995	15-5
22.9	0.949999999999989	1995	15-6
17.6	-1.86666666666667	1995	15-7
14.2	-0.133333333333326	1995	15-8
12.1	-1.21666666666668	1995	15-9
20.5	0.750000000000028	1995	16-1
18.1	0.466666666666658	1995	16-10
18.1	1.04999999999998	1995	16-11
21.5	1.53333333333336	1995	16-12
24.7	0.26666666666668	1995	16-13
27	1.00000000000002	1995	16-14
27	0.916666666666675	1995	16-15
27	0.683333333333348	1995	16-16
26.5	0.716666666666686	1995	16-17
23.4	0.216666666666669	1995	16-18
24.3	0.549999999999983	1995	16-19
22.4	1.16666666666665	1995	16-2
22.9	0.166666666666668	1995	16-20
21	-0.849999999999984	1995	16-21
21	-0.933333333333319	1995	16-22
18.6	0.416666666666657	1995	16-23
9.59999999999997	1.36666666666665	1995	16-24
22.9	1.18333333333332	1995	16-3
17.1	-1.91666666666667	1995	16-4
10.6	0.883333333333326	1995	16-5
13.7	-0.299999999999992	1995	16-6
17.6	0.616666666666657	1995	16-7
20.5	0.616666666666685	1995	16-8
19.6	-0.616666666666674	1995	16-9
21.9	1.03333333333333	1995	17-1
22.4	-0.716666666666669	1995	17-10
22.9	1.11666666666666	1995	17-11
21.5	0.266666666666691	1995	17-12
27	0.316666666666681	1995	17-13
26.1	0.683333333333327	1995	17-14
27	0.76666666666668	1995	17-15
27	0.616666666666674	1995	17-16
24.7	-0.249999999999989	1995	17-17
25.6	1.11666666666666	1995	17-18
24.3	0.549999999999983	1995	17-19
23.4	1.28333333333332	1995	17-2
22.4	-0.233333333333331	1995	17-20
21	-0.23333333333332	1995	17-21
19.1	-1.11666666666668	1995	17-22
18.6	-1.13333333333334	1995	17-23
18.1	0.133333333333326	1995	17-24
22.4	0.933333333333326	1995	17-3
9.09999999999997	0.949999999999998	1995	17-4
17.6	0.616666666666657	1995	17-5
19.1	0.416666666666657	1995	17-6
21	-0.399999999999988	1995	17-7
21.9	0.0500000000000007	1995	17-8
21.5	-0.833333333333325	1995	17-9
23.8	0.683333333333319	1995	18-1
21.9	-0.966666666666669	1995	18-10
25.6	-0.400000000000006	1995	18-11
23.8	0.533333333333321	1995	18-12
23.4	-0.25	1995	18-13
25.6	-0.233333333333338	1995	18-14
27	0.833333333333343	1995	18-15
27	0.76666666666668	1995	18-16
23.4	-0.133333333333336	1995	18-17
25.6	0.799999999999994	1995	18-18
24.3	0.48333333333332	1995	18-19
21	-0.533333333333314	1995	18-2
22.9	0.183333333333337	1995	18-20
21	-0.0666666666666522	1995	18-21
19.1	-0.566666666666674	1995	18-22
17.1	-1.26666666666667	1995	18-23
17.1	-1.41666666666667	1995	18-24
16.2	1.41666666666667	1995	18-3
10.1	0.299999999999992	1995	18-4
18.6	-0.883333333333344	1995	18-5
20.1	-0.750000000000011	1995	18-6
21	-0.249999999999989	1995	18-7
21.5	0.183333333333348	1995	18-8
21.5	-0.683333333333319	1995	18-9
21.5	-0.666666666666647	1995	19-1
21.9	0.0499999999999936	1995	19-10
24.3	-0.716666666666679	1995	19-11
27.4	-0.300000000000001	1995	19-12
24.7	0.300000000000011	1995	19-13
