group	fill
1	#FFE8E0
2	#FFE5DB
3	#FFD3C3
4	#FFE1D6
5	#FFD8CB
6	#FFD8CA
7	#FFE9E1
8	#FFF1EC
9	#FFF5F1
10	#E7D6FF
11	#EFE3FF
12	#FFEDE6
13	#E9D8FF
14	#EFE3FF
15	#F3EAFF
16	#F5EDFF
17	#E6D4FF
18	#FFE8E0
19	#FDFCFF
20	#FFF9F6
21	#FFE8E0
22	#FFFAF8
23	#FFF5F1
24	#FFF3EF
25	#FFF0EB
26	#FFD3C3
27	#FFE7DE
28	#FFE6DD
29	#FFFBFA
30	#F9F5FF
31	#FAF7FF
32	#F7F1FF
33	#FFFEFD
34	#EBDDFF
35	#FFEEE8
36	#FFFDFC
37	#F3E9FF
38	#D9BFFF
39	#D6BBFF
40	#E8D7FF
41	#DCC5FF
42	#FEFEFF
43	#FFFCFB
44	#FFF5F2
45	#FFF1EC
46	#FFF5F1
47	#FFDDD1
48	#FFE6DD
49	#FFF0EB
50	#FFDBCE
51	#FFE9E1
52	#FFDACC
53	#FFFBFA
54	#FFEFE9
55	#F7F1FF
56	#F7F1FF
57	#FCFAFF
58	#EBDDFF
59	#FFF7F5
60	#FFF7F5
61	#EDDFFF
62	#D9BFFF
63	#D7BDFF
64	#DEC8FF
65	#DEC7FF
66	#FEFEFF
67	#FFFFFF
68	#FFF4F0
69	#FFF1EC
70	#FFE2D7
71	#FFDACD
72	#FFCEBD
73	#FFF8F6
74	#FFCFBE
75	#FFDED2
76	#FFCBB9
77	#FFF8F5
78	#FFF7F4
79	#F4ECFF
80	#FEFDFF
81	#FEFEFF
82	#FCFAFF
83	#FFF9F7
84	#FFFBFA
85	#F0E5FF
86	#E5D3FF
87	#E2CFFF
88	#DBC3FF
89	#CAABFF
90	#FFFCFB
91	#FFF4F0
92	#FFF5F2
93	#FFF0EA
94	#FFE1D6
95	#FFCEBD
96	#FFCCBB
97	#FFF9F6
98	#FFD6C8
99	#FFF1EC
100	#FFE1D6
101	#FFE2D8
102	#FAF6FF
103	#FBF8FF
104	#FAF7FF
105	#FFFFFE
106	#F8F2FF
107	#FBF8FF
108	#FFEAE3
109	#F0E5FF
110	#ECDEFF
111	#E8D7FF
112	#D9C1FF
113	#CFB1FF
114	#FFECE5
115	#FFF4F0
116	#FFFEFE
117	#FFF6F3
118	#FFD7C9
119	#FFC0AB
120	#FFD5C7
121	#FFE9E1
122	#FFEBE3
123	#FFF3EE
124	#F7F1FF
125	#FFF9F7
126	#FEFDFF
127	#F8F3FF
128	#FFFEFE
129	#F8F3FF
130	#F7F0FF
131	#F8F2FF
132	#FFE8E0
133	#F8F3FF
134	#F7F1FF
135	#FBF8FF
136	#D9C1FF
137	#CFB1FF
138	#FFF3EE
139	#FFF3EE
140	#FFFAF8
141	#FFF0EA
142	#FFE9E1
143	#FFF0EA
144	#FFF8F5
145	#FFE7DE
146	#F8F2FF
147	#FFFAF8
148	#FFFFFF
149	#FFF7F5
150	#FFF6F2
151	#F9F5FF
152	#FBF8FF
153	#FDFCFF
154	#F3E9FF
155	#F7F1FF
156	#FFF2ED
157	#FBF8FF
158	#FFF3EE
159	#FDFBFF
160	#E8D7FF
161	#DBC3FF
162	#FFE9E1
163	#FFFDFC
164	#FEFEFF
165	#FFF6F3
166	#FFEBE4
167	#FFE9E1
168	#EADBFF
169	#FFE9E1
170	#F8F2FF
171	#FFF5F1
172	#FFF4F0
173	#FFEDE6
174	#FFF8F5
175	#F9F5FF
176	#FFFFFF
177	#FBF7FF
178	#F4EBFF
179	#FAF6FF
180	#FFF4F0
181	#F9F5FF
182	#FFF9F6
183	#FDFBFF
184	#FBF9FF
185	#E1CDFF
186	#FFF7F4
187	#F4EBFF
188	#FFE0D5
189	#FFDDD1
190	#FFE8DF
191	#FFE6DC
192	#F7F1FF
193	#FFF0EB
194	#F5EEFF
195	#F5EDFF
196	#FCFAFF
197	#FFE2D8
198	#FFE3D9
199	#FDFBFF
200	#F8F2FF
201	#FFFDFD
202	#FFFBF9
203	#FAF6FF
204	#FFFDFD
205	#FEFEFF
206	#F9F4FF
207	#FAF6FF
208	#F6EFFF
209	#FBF8FF
210	#FEFEFF
211	#FFFAF8
212	#FFF5F1
213	#FFE4DA
214	#FFECE5
215	#FFEBE3
216	#FFF5F1
217	#FFFAF8
218	#FDFCFF
219	#FFD0C0
220	#FFD6C8
221	#FFDFD3
222	#FFE3D9
223	#FBF9FF
224	#FBF7FF
225	#FFF7F5
226	#FFF7F4
227	#FCF9FF
228	#EFE4FF
229	#F2E7FF
230	#FAF7FF
231	#F3EAFF
232	#E8D8FF
233	#F3EAFF
234	#CCADFF
235	#E7D6FF
236	#FFE8E0
237	#FFF7F4
238	#FFF9F7
239	#FFF1EB
240	#FFF7F4
241	#BE99FF
242	#FFF1EC
243	#FFC6B3
244	#FFA88D
245	#FFD3C4
246	#F8F3FF
247	#F0E4FF
248	#F9F5FF
249	#FEFDFF
250	#FDFCFF
